project_name,category,date,time,source,platform
مطلوب مصمم شعارات,تصميم,2026-02-28,14:00,khamsat,khamsat
موقع + تطبيق + رفع ملف جاهز,برمجة,2026-02-28,23:00,khamsat,khamsat
محترف برنامج blender,أخرى,2026-02-28,22:00,khamsat,khamsat
صنع تطبيق اداره,برمجة,2026-02-28,18:00,khamsat,khamsat
عمل كتب تعليمية للاطفال,أخرى,2026-02-28,19:00,khamsat,khamsat
احتاج شب او فتاه لعمل فيديو اعلاني,فيديو,2026-03-01,01:00,khamsat,khamsat
تكوين فريق عمل متكامل,أخرى,2026-02-27,01:00,khamsat,khamsat
تصميم شعار ب ٤٠ دولار,تصميم,2026-02-27,01:00,khamsat,khamsat
مطلوب مبرمج لعمل استكمال سكربت,برمجة,2026-02-28,20:00,khamsat,khamsat
مطلوب تصميم بوستر أكاديمي لمشروع,تصميم,2026-02-28,12:00,khamsat,khamsat
مطلوب مونتاج فيديوهات عدد 40 شهريا,فيديو,2026-02-28,15:00,khamsat,khamsat
مدير صفحات التواصل الاجتماعي,أخرى,2026-02-28,22:00,khamsat,khamsat
نشر الموقع على استضافتي الخاصة,برمجة,2026-02-28,23:00,khamsat,khamsat
برمجة نظام تسهل عملية انشاء الداش بورد في باور بي,برمجة,2026-03-01,01:00,khamsat,khamsat
طلب مونتاج احترافي لفيديو ريلز ويوتيوب مع ترجمة,فيديو,2026-03-01,01:00,khamsat,khamsat
انشاء تطبيق APK,برمجة,2026-02-28,21:00,khamsat,khamsat
مطلوب مدير حملات جوجل,أخرى,2026-02-28,23:00,khamsat,khamsat
مطلوب شخص لإضافة منتجات إلى متجر ووردبريس,أخرى,2026-02-27,01:00,khamsat,khamsat
محتاجة مسوق إلكتروني بسوشال ميديا,تسويق,2026-02-28,21:00,khamsat,khamsat
مدرس لتعليم لغة ++C,أخرى,2026-02-28,09:00,khamsat,khamsat
مطلوب مدير سوشال ميديا فاهم اللعبة (مو نشر عشوائي),تسويق,2026-03-01,01:00,khamsat,khamsat
تصميم صفحة هبوط,تصميم,2026-02-28,02:00,khamsat,khamsat
متفرغين لإبداء آرائهم في الوجبات السريعة survey,أخرى,2026-02-28,16:00,khamsat,khamsat
تصميم صفحة هبوط تعريفية لمصمم فيديو,تصميم,2026-02-28,13:00,khamsat,khamsat
